,Unnamed: 0,End_Year,W,L,Finish,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Start_Year,Pace
32,32,1979,41.0,41.0,3.272727272727273,26.26363636363636,82.0,241.0909090909091,44.51363636363636,91.72727272727272,0.4853181818181818,0.0,0.0,0.0,44.51363636363636,91.72727272727272,0.4853181818181818,21.304545454545455,28.295454545454547,0.7525,14.836363636363636,30.35909090909091,45.21818181818182,25.768181818181816,9.145454545454545,5.368181818181818,19.79090909090909,25.327272727272728,110.3318181818182,1978.0,105.27333333333333
33,33,1980,41.0,41.0,3.272727272727273,26.4,82.0,241.8,43.64090909090909,90.65,0.4815909090909091,0.7727272727272727,2.768181818181818,0.263,42.85454545454545,87.87272727272727,0.4879545454545454,21.277272727272727,27.83181818181818,0.763818181818182,15.068181818181818,29.88181818181818,44.93636363636364,25.80454545454546,9.413636363636364,5.309090909090909,18.931818181818183,24.36818181818182,109.3409090909091,1979.0,102.89333333333335
34,34,1981,41.0,41.0,3.391304347826087,26.2,82.0,241.41304347826087,42.96086956521739,88.42608695652174,0.4857826086956521,0.5043478260869565,2.017391304347826,0.2293478260869565,42.4695652173913,86.40434782608695,0.4915217391304348,21.682608695652178,28.88695652173913,0.7500434782608696,14.543478260869565,28.94347826086957,43.48695652173913,25.47826086956522,9.004347826086956,5.321739130434783,18.75217391304348,25.05652173913043,108.09565217391304,1980.0,102.0625
35,35,1982,41.0,41.0,3.391304347826087,26.160869565217393,82.0,241.5913043478261,43.334782608695654,88.21739130434783,0.4910434782608696,0.6086956521739131,2.2869565217391306,0.2525652173913043,42.7304347826087,85.9608695652174,0.4972608695652173,21.304347826086957,28.569565217391304,0.7449130434782608,14.330434782608696,29.13913043478261,43.47391304347826,25.13913043478261,8.539130434782608,5.369565217391305,17.73913043478261,26.165217391304346,108.58695652173913,1981.0,100.775
36,36,1983,41.0,41.0,3.391304347826087,26.1,82.0,241.2782608695652,43.5304347826087,89.65652173913043,0.4854782608695652,0.5347826086956522,2.252173913043478,0.2308260869565217,42.99130434782609,87.40869565217392,0.4915652173913043,20.92608695652174,28.282608695652176,0.7392173913043478,14.826086956521738,29.63478260869565,44.45652173913044,25.90869565217391,8.882608695652175,5.595652173913043,19.1,25.64782608695652,108.51304347826088,1982.0,103.175
37,37,1984,41.0,41.0,3.391304347826087,26.382608695652173,82.0,242.0304347826087,43.48695652173912,88.35652173913044,0.4919565217391304,0.5956521739130435,2.373913043478261,0.2421739130434782,42.87826086956522,85.98260869565217,0.4987826086956521,22.55217391304348,29.691304347826087,0.7591304347826088,14.2,28.82608695652174,43.02608695652174,26.195652173913043,8.51304347826087,5.308695652173912,17.895652173913046,25.752173913043475,110.11739130434782,1983.0,101.425
38,38,1985,41.0,41.0,3.391304347826087,26.44782608695652,82.0,241.4086956521739,43.76521739130435,89.09565217391304,0.4912173913043478,0.8913043478260869,3.143478260869565,0.2736521739130435,42.87826086956522,85.97391304347826,0.4987826086956521,22.430434782608696,29.369565217391305,0.763217391304348,14.317391304347826,29.169565217391305,43.49130434782609,26.25652173913043,8.54782608695652,5.326086956521739,17.86521739130435,24.934782608695652,110.83913043478262,1984.0,102.2125
39,39,1986,41.0,41.0,3.391304347826087,26.769565217391307,82.0,241.56521739130432,43.19565217391305,88.63478260869564,0.4872608695652174,0.9478260869565218,3.3391304347826085,0.2682608695652174,42.256521739130434,85.29565217391304,0.4954347826086956,22.89565217391305,30.26521739130435,0.7564782608695653,14.130434782608695,29.430434782608696,43.56956521739131,26.02173913043478,8.78695652173913,5.243478260869565,17.843478260869563,25.208695652173912,110.22173913043478,1985.0,102.76875
40,40,1987,41.0,41.0,3.391304347826087,26.6,82.0,241.5391304347826,42.64347826086957,88.79565217391304,0.4804782608695652,1.4217391304347828,4.734782608695652,0.2902173913043478,41.21739130434783,84.0695652173913,0.4905217391304348,23.230434782608693,30.46521739130435,0.7625652173913045,14.7,29.32608695652174,44.02173913043478,25.97391304347826,8.630434782608695,5.517391304347826,16.991304347826087,24.530434782608697,109.94347826086955,1986.0,100.9125
41,41,1988,41.0,41.0,3.391304347826087,26.86521739130435,82.0,241.2521739130435,42.13478260869565,87.71739130434783,0.4804347826086957,1.5782608695652172,4.991304347826087,0.3063913043478261,40.55652173913043,82.7304347826087,0.4905217391304348,22.304347826086957,29.117391304347827,0.7660000000000001,14.230434782608697,29.169565217391305,43.391304347826086,25.76521739130435,8.51304347826087,5.378260869565217,16.73478260869565,24.10434782608695,108.16086956521738,1987.0,99.3875
42,42,1989,41.0,41.0,3.64,26.872,82.0,241.512,42.472,88.976,0.4775999999999999,2.12,6.5520000000000005,0.3114,40.348,82.40799999999999,0.49012,22.112,28.808000000000003,0.76704,14.5,29.408,43.916,25.576,9.084,5.34,17.224,23.656,109.168,1988.0,100.53333333333333
43,43,1990,41.0,41.0,3.888888888888889,27.08888888888889,82.0,241.51111111111112,41.52222222222222,87.15185185185184,0.4766296296296296,2.185185185185185,6.607407407407408,0.3161111111111111,39.34074074074074,80.54814814814816,0.4888148148148148,21.78148148148148,28.50740740740741,0.7634074074074074,13.833333333333334,29.307407407407407,43.144444444444446,24.85555555555556,8.518518518518519,5.066666666666667,16.066666666666666,23.24814814814815,106.98888888888888,1989.0,98.83333333333333
44,44,1991,41.0,41.0,3.888888888888889,27.18888888888889,82.0,241.74074074074073,41.355555555555554,87.2,0.4746666666666667,2.2962962962962963,7.14074074074074,0.3146296296296296,39.06666666666666,80.05555555555556,0.4883703703703703,21.32962962962963,27.88148148148148,0.7641481481481482,13.977777777777776,29.27777777777778,43.26296296296296,24.737037037037037,8.585185185185185,5.251851851851852,16.04074074074074,23.18148148148148,106.3,1990.0,98.69999999999999
